best fitness, average fitness, best performance
86.0162,60.3977,71.4286
86.0162,61.2483,71.4286
86.0162,62.307,71.4286
86.0162,63.9646,71.4286
86.0162,64.4586,71.4286
86.0162,64.6187,71.4286
86.0162,64.8593,71.4286
86.0162,65.2854,71.4286
86.0162,65.8024,71.4286
86.0162,66.3272,71.4286
86.0162,66.4227,71.4286
86.0162,66.8539,71.4286
86.0162,67.1462,71.4286
86.0162,67.387,71.4286
86.0162,68.3841,71.4286
86.0162,68.4618,71.4286
86.0162,68.9291,71.4286
86.0162,69.5389,71.4286
86.0162,70.2497,71.4286
86.0162,71.0539,71.4286
86.0162,71.0826,71.4286
86.0162,71.6008,71.4286
91.6857,72.4079,70
91.6857,72.4681,70
91.6857,72.982,70
91.6857,73.8879,70
91.6857,74.2541,70
91.6857,74.4124,70
91.6857,74.4124,70
91.6857,74.5654,70
99.0659,75.1967,68.5714
99.0659,76.4851,68.5714
99.0659,76.7789,68.5714
99.0659,77.3142,68.5714
99.0659,77.7584,68.5714
99.0659,78.1182,68.5714
99.0659,78.2522,68.5714
99.0659,78.3881,68.5714
99.0659,78.7946,68.5714
99.0659,79.2524,68.5714
99.0659,79.6349,68.5714
99.0659,79.8737,68.5714
99.0659,80.4157,68.5714
99.0659,80.718,68.5714
99.0659,81.0436,68.5714
99.0659,81.4213,68.5714
99.0659,81.7278,68.5714
99.0659,82.5164,68.5714
99.0659,83.3876,68.5714
99.0659,83.5782,68.5714
99.0659,84.2525,68.5714
99.0659,84.6369,68.5714
99.0659,84.6814,68.5714
99.0659,85.0469,68.5714
99.0659,85.5557,68.5714
99.0659,85.5564,68.5714
99.0659,85.7504,68.5714
99.0659,85.8104,68.5714
99.0659,85.9177,68.5714
99.0659,85.8641,68.5714
99.0659,85.9618,68.5714
99.0659,85.9558,68.5714
99.9144,86.6273,65.7143
99.9144,87.0726,65.7143
99.9144,86.857,65.7143
99.9144,87.4036,65.7143
99.9144,88.2058,65.7143
99.9144,88.2186,65.7143
99.9144,88.6207,65.7143
99.9144,89.6976,61.4286
99.9144,89.8691,61.4286
99.9144,90.1667,61.4286
99.9144,90.1009,61.4286
99.9144,90.4663,61.4286
99.9144,90.5263,61.4286
99.9144,90.6199,61.4286
99.9144,90.0945,61.4286
99.9144,91.1482,65.7143
99.9144,91.7479,65.7143
99.9144,91.0774,65.7143
99.9144,91.3798,65.7143
99.9144,92.0034,65.7143
99.9144,92.9079,65.7143
99.9144,93.5996,65.7143
99.9144,93.7648,65.7143
99.9144,94.1584,65.7143
99.9144,93.9696,65.7143
99.9144,93.7027,65.7143
99.9144,94.4444,65.7143
99.9144,94.359,65.7143
99.9144,94.1863,65.7143
99.9144,94.3923,65.7143
99.9144,94.3857,65.7143
99.9144,94.787,65.7143
99.9144,94.5399,65.7143
99.9144,95.1266,65.7143
99.9144,95.1619,65.7143
99.9144,95.1709,65.7143
99.9144,95.6971,65.7143
99.9144,95.3873,65.7143
99.9144,95.8825,65.7143
99.9144,95.9397,65.7143
99.9144,95.8861,65.7143
99.9144,95.6103,65.7143
99.9144,96.2455,65.7143
99.9144,96.2703,65.7143
99.9144,96.5837,65.7143
99.9144,96.3889,65.7143
99.9144,96.4313,65.7143
99.9144,96.8994,65.7143
99.9144,97.1289,65.7143
99.9144,96.8439,65.7143
99.9144,97.2268,65.7143
99.9144,97.3425,65.7143
99.9144,97.5018,65.7143
99.9144,97.5542,65.7143
99.9144,96.8054,65.7143
99.9144,96.8241,65.7143
99.9144,97.6982,65.7143
99.9144,97.6584,65.7143
99.9144,97.5675,65.7143
99.9144,97.4556,65.7143
99.9144,97.7284,65.7143
99.9144,97.1494,65.7143
99.9144,96.5335,65.7143
99.9144,97.7451,65.7143
99.9144,97.5423,65.7143
99.9144,97.9024,65.7143
99.9144,97.3012,65.7143
99.9144,97.8442,65.7143
99.9144,97.6525,65.7143
99.9144,97.016,65.7143
99.9144,98.0127,65.7143
99.9144,97.101,65.7143
99.9144,97.4052,65.7143
99.9144,98.0341,65.7143
99.9144,97.3959,65.7143
99.9144,98.1195,65.7143
99.9144,98.1195,65.7143
99.9144,98.1195,65.7143
99.9144,98.1213,65.7143
99.9144,98.2286,65.7143
99.9144,98.4125,65.7143
99.9144,98.4339,65.7143
99.9144,97.9539,65.7143
99.9144,98.5473,65.7143
99.9144,98.3072,65.7143
99.9144,98.5211,65.7143
99.9144,98.4257,65.7143
99.9144,98.4733,65.7143
99.9144,98.6483,65.7143
99.9144,98.6449,65.7143
99.9144,98.7286,65.7143
99.9144,97.9115,65.7143
99.9144,98.2619,65.7143
99.9144,98.7311,65.7143
99.9144,98.8373,65.7143
99.9144,98.8882,65.7143
99.9144,98.9392,65.7143
99.9144,98.6414,65.7143
99.9144,98.7913,65.7143
99.9144,98.4976,65.7143
99.9144,98.933,65.7143
99.9144,98.9174,65.7143
99.9144,98.2551,65.7143
99.9144,98.0392,65.7143
99.9144,98.4915,65.7143
99.9144,98.846,65.7143
99.9144,97.9825,65.7143
99.9144,98.4802,65.7143
99.9144,99.0737,67.1429
99.9144,99.1066,67.1429
99.9144,98.8793,67.1429
99.9144,99.1644,67.1429
99.9144,98.1766,67.1429
99.9144,98.9242,67.1429
99.9144,99.1491,67.1429
99.9144,99.2259,67.1429
99.9144,98.9111,67.1429
99.9144,99.2539,67.1429
99.9144,98.8699,67.1429
99.9144,99.2701,67.1429
99.9144,99.2956,67.1429
99.9144,98.7522,67.1429
99.9144,99.3335,67.1429
99.9144,99.3701,67.1429
99.9144,99.4214,68.5714
99.9144,99.4307,68.5714
99.9144,99.4401,68.5714
99.9144,99.4495,68.5714
99.9144,99.019,68.5714
99.9144,98.5426,68.5714
99.9144,99.4565,68.5714
99.9144,99.4795,68.5714
99.9144,99.4889,68.5714
99.9144,99.5076,68.5714
99.9144,99.517,68.5714
99.9144,99.0354,68.5714
99.9144,99.517,68.5714
99.9144,99.517,68.5714
